Condition,Sub_Issue,Severity,Advice,Doctor_Required,Dos,Donts,Morning_Routine,Night_Routine
Normal,None,Good,Maintain current routine and apply sunscreen.,Not required,"Sunscreen is MUST; Keep it simple; Stay consistent","Avoid DIY random treatments; Don't overdo routine"
Dark Circles,None,Mild,Get adequate sleep and apply under-eye serum.,Not required,"Get adequate sleep; Use caffeine serums; Stay hydrated","Don't rub eyes; Don't skip sunscreen"
Wrinkles,None,Moderate,Use retinol consistently at night.,Not required,"Use retinol/peptides; Sunscreen daily; Stay hydrated","Don't skip sunscreen; Don't smoke; Don't sleep on face"
Actinic Keratosis,None,Severe,Scaly patches (pre-cancerous). See doctor.,Recommended,"Wear sunscreen daily; Monitor for changes; Use hats","Don't pick at scales; Don't ignore new spots",Gentle cleanser; Antioxidant serum; SPF 50+,Gentle cleanser; Prescribed cream; Heavy moisturizer
Bullous Disease,None,Severe,Blistering condition. Requires medical diagnosis.,Recommended,"Keep blisters intact; Use sterile dressings; Wash hands","Don't pop blisters; Don't use harsh soaps; Avoid friction",Saline clean; Antibiotic ointment; Sterile dressing,Saline clean; Reapply ointment; Sterile dressing
Exanthems and Drug Eruptions,None,Moderate,Rash due to medicine or virus. See doctor.,Recommended,"Identify new meds; Use cool compresses; Wear loose clothing","Don't take new meds without advice; Don't scratch",Lukewarm shower; Calamine lotion; Gentle moisturizer,Cool compress; Moisturizer; Antihistamine
Lupus,None,Severe,Autoimmune condition. Highly sun sensitive.,Recommended,"Stay out of sun; Wear UPF clothing; Use gentle products","Avoid direct sunlight; Don't ignore joint pain",Gentle cleanser; Soothing serum; Physical SPF 50+,Gentle cleanser; Soothing moisturizer; Prescribed cream
Seborrheic Keratosis,None,Good,Harmless waxy growths. Can be removed by pro.,Not required,Keep skin moisturized; Monitor for changes,"Don't try to scrape off; Don't use harsh exfoliants",Gentle cleanser; Moisturizer; Sunscreen,Gentle cleanser; Moisturizer
Vascular Tumors,None,Moderate,Red/purple blood vessel growths. Easy to bleed.,Recommended,Monitor for bleeding; Keep clean,"Don't pick or scratch; Don't treat at home",Gentle wash; Pat dry; Sunscreen,Gentle wash; Light moisturizer
Vasculitis,None,Severe,Inflammation of blood vessels. Purple spots.,Recommended,"Elevate legs if affected; Keep warm; See specialist","Don't ignore leg pain; Don't stand for too long",Gentle wash; Support stockings; Moisturizer,Gentle wash; Elevation; Moisturizer
Perioral Dermatitis,None,Moderate,Red bumps around mouth. Avoid steroid creams.,Recommended,"Stop steroid creams; Use minimal products",No heavy creams; No fluoride toothpaste; No steroids,Lukewarm water wash; Light gel moisturizer; Fragrance-free SPF,Lukewarm water; Light gel moisturizer
Systemic Disease,None,Severe,Skin signs of internal illness. See specialist.,Recommended,Keep track of all symptoms; See a specialist,"Don't ignore non-skin symptoms; Don't self-treat",Gentle wash; Basic hydration; Sun protection,Gentle wash; Hydration; Symptom monitoring
