Condition,Category,Name,Brand,Price,Tier
Eczema (Atopic Dermatitis),Moisturizer,Physiogel Hypoallergenic,Physiogel,Rs. 3200,Premium
Eczema (Atopic Dermatitis),Cleanser,Cetaphil Gentle Cleanser,Cetaphil,Rs. 2200,Premium
Seborrheic Dermatitis,Treatment,Ketoconazole Shampoo,Nizoral,Rs. 1750,Mid-Range
Rosacea,Cleanser,Derma Shine Soft Cleanser,Derma Shine,Rs. 850,Budget
Rosacea,Moisturizer,Dermive Oil Free,Jenpharm,Rs. 1150,Mid-Range
Rosacea,Serum,Vitamin B3 Niacinamide,Organic Traveller,Rs. 1850,Mid-Range
Contact Dermatitis,Moisturizer,Physiogel Calming Relief,Physiogel,Rs. 3500,Premium
Contact Dermatitis,Cleanser,Derma Shine Mild,Derma Shine,Rs. 750,Budget
Urticaria,Moisturizer,Dermive Oil Free,Jenpharm,Rs. 1150,Mid-Range
Urticaria,Soothing,Calamine Lotion,Generic,Rs. 250,Budget
Melasma,Serum,Vitamin C Serum,Jenpharm,Rs. 1550,Mid-Range
Melasma,Serum,Quench Vitamin C,Organic Traveller,Rs. 2100,Premium
Melasma,Sunscreen,Spectra Block SPF 60,Jenpharm,Rs. 1250,Mid-Range
Vitiligo,Sunscreen,Sunstop SPF 100,Jenpharm,Rs. 1750,Mid-Range
Vitiligo,Moisturizer,Eucerin Daily Protection,Eucerin,Rs. 3500,Premium
Freckles,Face Wash,Vince Whitening Wash,Vince,Rs. 850,Budget
Freckles,Sunscreen,Spectra Block SPF 60,Jenpharm,Rs. 1250,Mid-Range
Lentigines,Serum,Alpha Arbutin 2%,The Ordinary,Rs. 2800,Premium
Lentigines,Serum,Vitamin C,Jenpharm,Rs. 1550,Mid-Range
Post-Inflammatory Hyperpigmentation (PIH),Serum,Alpha Arbutin,Organic Traveller,Rs. 1950,Mid-Range
Psoriasis,Moisturizer,CeraVe Psoriasis Cream,CeraVe,Rs. 4500,Premium
Psoriasis,Moisturizer,Dermive Urea,Jenpharm,Rs. 1450,Mid-Range
Milia,Exfoliant,Salicylic Acid 2%,The Ordinary,Rs. 2400,Premium
Enlarged Pores,Serum,Niacinamide 10%,The Ordinary,Rs. 2400,Premium
Enlarged Pores,Serum,Pore Tightening,Organic Traveller,Rs. 1850,Mid-Range
Sebaceous Hyperplasia,Serum,Retinol 0.5%,The Ordinary,Rs. 3200,Premium
Keratosis Pilaris,Moisturizer,Dermive Urea 10%,Jenpharm,Rs. 1450,Mid-Range
Keratosis Pilaris,Moisturizer,CeraVe SA Cream,CeraVe,Rs. 4800,Premium
Skin Tags,Consultation,Specialist Visit Required,N/A,Rs. 0,Budget
Warts,Treatment,Duofilm solution,GSK,Rs. 1650,Mid-Range
Cellulitis,Specialist,IMMEDIATE DOCTOR VISIT,Hospital,N/A,Premium
Basal Cell Carcinoma,Specialist,URGENT DERMATOLOGIST VISIT,Oncology,N/A,Premium
Squamous Cell Carcinoma,Specialist,URGENT DERMATOLOGIST VISIT,Oncology,N/A,Premium
Melanoma,Specialist,URGENT CANCER SPECIALIST,Oncology,N/A,Premium
Normal,Sunscreen,Spectra Block SPF 60,Jenpharm,Rs. 1250,Mid-Range
Dark Circles,Under Eye Cream,Revitalize Eye Cream,Jenpharm,Rs. 1350,Mid-Range
Wrinkles,Serum,Youth Serum (Retinol),Organic Traveller,Rs. 2450,Premium
Wrinkles,Serum,Retinol Serum,The Ordinary,Rs. 3800,Premium
Actinic Keratosis,Sunscreen,Spectra Block SPF 60,Jenpharm,Rs. 1250,Mid-Range
Actinic Keratosis,Specialist,Consult Dermatologist,N/A,Rs. 0,Budget
Bullous Disease,Specialist,Doctor Visit,Hospital,Rs. 1000,Mid-Range
Exanthems and Drug Eruptions,Lotion,Calamine Lotion,Generic,Rs. 250,Budget
Lupus,Sunscreen,Mineral Sunscreen SPF 50,Generic,Rs. 2500,Mid-Range
Seborrheic Keratosis,Moisturizer,Dermive Urea,Jenpharm,Rs. 1450,Mid-Range
Vascular Tumors,Specialist,Vascular Specialist,N/A,Rs. 2000,Mid-Range
Vasculitis,Specialist,Internist,N/A,Rs. 2000,Mid-Range
Perioral Dermatitis,Moisturizer,Dermive Oil Free,Jenpharm,Rs. 1150,Mid-Range
Systemic Disease,Specialist,Internal Medicine Specialist,Hospital,Rs. 2000,Mid-Range
